"Раздел 1
Особенности обучения взрослых";3;1,5;1,5;
Тема 1.1 Стратегия и цели бизнеса как форм-фактор корпоративного обучения;0,5;0,25;0,25;
Тема 1.2 Принципиальные отличия бизнес-образования от профессионального дополнительного образования и профессионального обучения;1;0,5;0,5;
Тема 1.3 Педагогика, андрагогика, герогогика: специфика и принципы работы со взрослой аудиторией;0,5;0,25;0,25;
Тема 1.4 Психологические особенности людей, выступающие предпосылками успешного обучения (по К. Роджерсу);0,5;0,25;0,25;
Тема 1.5 Использование особенностей познавательных процессов для повышения эффективности обучения взрослых (восприятие, память, внимание, мышление);0,5;0,25;0,25;
"Раздел 2
Нормативно-правовая база, регламентирующая деятельность преподавателей авиационных учебных центров";2;2;-;
Тема 2.1 Федеральные законы и подзаконные акты, регламентирующие образовательную деятельность ;1;1;-;
Тема 2.2 Федеральные авиационные правила, регламентирующие деятельность авиационных учебных центров ;1;1;-;
"Раздел 3
Различия между организованной и неорганизованной группой";3;1,5;1,5;
Тема 3.1 Роли в неорганизованной группе. Роль тренера, как тренера и фасилитатора;1;0,5;0,5;
Тема 3.2 Качественный и количественный состав групп (гомогенность и гетерогенность группы). Особенности работы со смешанными группами (межфункциональные группы, группы, включающие сотрудников разного статуса);1;0,5;0,5;
Тема 3.3 Распознавание ролей в группе, коррекция деструктивных ролей. Фазы развития группы;1;0,5;0,5;
"Раздел 4
Навыки вербальной и невербальной коммуникации в процессе обучения ";2;1;1;
Тема 4.1 Процесс коммуникации в обучении: схема, принципы, каналы распространения информации, барьеры распространения информации, принципы эффективной коммуникации. Навыки слушания;1;0,5;0,5;
Тема 4.2 Навыки работы с вопросами. Процесс организации группового обсуждения. Методы и техники принятия групповых решений. Форматы обсуждения;1;0,5;0,5;
"Раздел 5
Преимущества и эффекты групповой работы";2;1;1;
Тема 5.1 Групповая динамика. Факторы, влияющие на групповую динамику. Работа с групповой динамикой	;1,5;1;0,5;
Тема 5.2 Построение работы с малыми группами на основе Теории поля К. Левина;0,5;-;0,5;
"Раздел 6
Работа с участниками обучения";2;1;1;
Тема 6.1 Ответственность преподавателя. Возможности и мотивация обучаемых;0,5;0,25;0,25;
Тема 6.2 Зоны ответственности преподавателя и обучаемых. Задачи преподавателя при мотивировании обучаемых;0,5;0,25;0,25;
